QTY, Description, P/N
6, SCREW M3 x 5mm BH TORX, 92832A214
1, RELIEF VALVE, 48935K250
2, VENTURI TUBE ELBOW ADAPTER, PRINTED
1, VENTURI TUBE EXHALE, PRINTED
1, BARREL JACK 2.1mm DC, 610 ADAFRUIT
1, COVER PANEL REAR, MACHINED
6, SCREW M5 x 8mm PH TORX, 90304A218
8, SCREW M4 x 8mm FH THREAD FORMING, STP41040-0080
1, O2 SENSOR, SS-26
1, VENTURI TUBE ADAPTER, PRINTED
1, VENTURI TUBE INHALE, PRINTED
1, ROTARY ENCODER, PEC11R-4015F-S0024
1, POWER BUTTON, IPR1SAD2
1, ENCLOSURE, PRINTED 
4, SCREW M3 x 12mm PH THREAD FORMING, 96817A912
2, QUICK DISCONNECT AIR CONNECT ADAPTER, 5012K320
1, HIGH-PURITY POLYPROPYLENE TUBING 0.25 INCH OD, 4218N11
1, HIGH-PURITY POLYPROPYLENE TUBING 0.25 INCH OD, 4218N11
1, HIGH-PURITY POLYPROPYLENE TUBING 0.25 INCH OD, 4218N11
1, HIGH-PURITY POLYPROPYLENE TUBING 0.25 INCH OD, 4218N11
1, HIGH-PURITY POLYPROPYLENE TUBING 0.25 INCH OD, 4218N11
1, HIGH-PURITY POLYPROPYLENE TUBING 0.25 INCH OD, 4218N11
1, HIGH-PURITY POLYPROPYLENE TUBING 0.25 INCH OD, 4218N11
1, HIGH-PURITY POLYPROPYLENE TUBING 0.25 INCH OD, 4218N11
1, HIGH-PURITY POLYPROPYLENE TUBING 0.25 INCH OD, 4218N11
1, HIGH-PURITY POLYPROPYLENE TUBING 0.25 INCH OD, 4218N11
1, HIGH-PURITY POLYPROPYLENE TUBING 0.25 INCH OD, 4218N11
1, SUB-ASSY VALVE PLATE, 3D printed
3, FITTING AIR MALE-PUSH CONNECT 0.125 INCH NPT, KQ2H07-34N
1, RASPBERRY PI 4 MODEL B, RPI4B
6, SCREW M2.63 x 5mm RH TORX THREAD FORMING, 99397A413
1, HIGH-PURITY HARD POLYPROPYLENE TUBING, 4218N11
4, FITTING AIR MALE-PUSH CONNECT 0.25 INCH NPT, KQ2H07-35N
3, PROPORTIONAL SOLENOID VALVE, PVQ31-6G-16-01-F
2, METRIC THREAD-FORMING SCREW FOR PLASTIC, 99397A679
1, REGULATOR BRACKET, -
1, PUSH-CONNECT BRANCH TEE TUBING ADAPTER, KQ2T07-34AS
1, HIGH-PURITY HARD POLYPROPYLENE TUBING, 4218N11
2, NONADJUSTABLE MINIATURE AIR WATER REGULATOR, 9386K410
2, CHECK VALVE, AKH07B-N01S
1, SENSOR BOARD PCBA, -
2, DIFFERENTIAL PRESSURE SENSOR, D6F_P0010A2
1, SENSOR BOARD PCB, -
2, PRESURE SENSOR GAUGE, P-2000-501G-15-BN
4, SCREW M2.63 x 8mm RH TORX THREAD FORMING, 99397A415
1, HIGH-PURITY HARD POLYPROPYLENE TUBING, 4218N11
1, PLATE ABS VALVE MOUNTING, -
1, BRACKET CABLE MANAGEMENT, -
1, PEEP VALVE, -
1, SUB-ASSY FRONT PLATE, MACHINED
1, COVER PANEL FRONT, MACHINED
6, STAINLESS STEEL STAND-OFF, CSS-M3-12
1, SUB-ASSY DISPLAY, -
10, SCREW M2.63 x 8mm RH TORX THREAD FORMING, 99397A415
1, DISPLAY MOUNT, PRINTED
1, RASPBERRY PI 7IN LCD, 8997466
1, BUTTON PCBA, -
2, TACTILE SWITCH SPST-NO, B3F-1020
1, MAGNETIC BUZZER TRANSDUCER, CEM-1203_42
1, BUTTON PCB, -
4, SCREW M3 x 5mm PH PHILLIPS, 90116A150
2, BUTTON COVER COSMETIC, PRINTED
1, PI DISPLAY PCBA, -
3, IV POLE C-CLAMP, BK-IVP-8950
1, TUBE GUIDE PATIENT CIRCUIT, -
1, Quad Low-Side Solenoid Driver, DRV8803
1, Power Management IC, TPS259571DSGR
1, Analog to Digital Converter, ADS1115IDGSR
