QTY, Description, P/N
PRINTED,,
1, ENCLOSURE, PRINTED
1, LINEAR ACTUATOR MOUNT, PRINTED
1, VALVE MOUNTING PLATE, PRINTED
1, BRACKET CABLE MANAGEMENT, PRINTED
1, DISPLAY MOUNT, PRINTED
1, VENTURI INSPIRATION, PRINTED
1, VENTURI EXPIRATION, PRINTED
2, BUTTON COVER COSMETIC, PRINTED
1, ROTARY ENCODER COVER COSMETIC, PRINTED
1, LINEAR ACTUATOR PEEP CAP, PRINTED
1, OXYGEN SENSOR MOUNT, PRINTED
MACHINED,,
1, FRONT COVER PANEL WITH STANDOFFS, MACHINED
1, TUBE GUIDE PATIENT CIRCUIT, MACHINED
1, REAR COVER PANEL, MACHINED
ELECTRONICS,,
1, OXYGEN SENSOR, SENSORONICS SS26
2, PROPORTIONAL SOLENOID VALVE, SMC PVQ31-6G-40-01N
1, LINEAR ACTUATOR, ACTUONIX L12-10-50-12-P
1, RASPBERRY PI 7IN LCD, DIGIKEY 1690-1007-ND
1, RASPBERRY PI 4 MODEL B, DIGIKEY 1690-RASPBERRYPI4B/2GB-ND
1, ADAFRUIT MOTOR BONNET 4280, DIGIKEY 1528-4280-ND 
4, PRESSURE SENSOR LPS33HW BREAKOUT 4414, DIGIKEY 1528-4414-ND
1, BATTERY BACKUP, GOOLOO GP37+
1, MAGNETIC BUZZER TRANSDUCER CEM-1203(42), DIGIKEY 102-1153-ND
2, TACTILE SWITCH B3F-1020, DIGIKEY SW402-ND
1, ADAFRUIT PANEL MOUNT BARREL JACK 2.1mm DC, ADAFRUIT 610  
1, ROTARY ENCODER, DIGIKEY PEC11R-4015F-S0024-ND
1, PANEL MOUNT POWER BUTTON IPR1SAD2, DIGIKEY 679-1099-ND
1, SPARKFUN QWIIC ADS1015 BREAKOUT, DIGIKEY 1568-DEV-15334-ND
1, BUTTON PCBA, HAND SOLDERED
OTHER,,
3, IV POLE C-CLAMP, BK-IVP-8950
2, QUICK DISCONNECT AIR CONNECT ADAPTER, 5012K320
2, HIGH-PURITY POLYPROPYLENE TUBING 0.25" OD, 4218N11
1, HIGH-PURITY POLYPROPYLENE TUBING 3/8" OD, 4218N13
2, CHECK VALVE, AKH07B-N01S
1, PUSH TO CONNECT WYE, 5779K264
3, PUSH TO CONNECT TUBE FITTING, 5779K116
1, PRESSURE RELIEF VALVE, 48935K250
10, SCREW M2.63 x 8mm RH TORX THREAD FORMING, 99397A415
4, SCREW M3 x 5mm PH PHILLIPS, 90116A150
6, SCREW M2.63 x 5mm RH TORX THREAD FORMING, 99397A413
4, SCREW M3 x 12mm PH THREAD FORMING, 96817A912
6, SCREW M5 x 8mm PH TORX, 90304A218
8, SCREW M4 x 8mm FH THREAD FORMING, STP41040-0080
1, LINEAR ACTUATOR PEEP CAP PADDING, TBD


